Hole,ID,LabID,depth_cm,distance_from_hole_on_surface_cm,nearest_neighbor,weight_g,Collection_Notes,time
1,1.2,Q1,7,6,6,0.7,,1
2,2.1,Q2,7.5,7,NA,0.7433,,1
3,3.1,Q3,6,11,NA,0.468,,1
4,4.1,Q4,7,6,11,0.7526,,1
4,4.2,Q5,7,9,11,0.7282,,1
5,5.1,Q6,5,9,5,0.6538,,1
5,5.2,Q7,5,9.5,5,6.51,,1
5,5.3,Q8,6,10,5,0.735,,1
5,5.4,Q9,5,8.5,5,0.799,,1
5,5.5,Q10,8.5,0,7,0.742,,1
1,1.1,Q11,14,0,6,0.672,(cut by trowel- so probably missing weight),1
6,12,Q12,2.5,4.5,,0.6532,,2
7,13,Q13,4.5,16,,0.7063,,2
8,14,Q14,4,13,,0.7796,,2
8,15,Q15,7.5,7,,0.7652,,2
8,16,Q16,5.5,4,,0.6843,,2
9,17,Q17,9.5,8,,0.6234,,2
8,18,Q18,3.5,12,,0.6893,,2
8,19,Q19,6,6,,0.7337,,2
8,20,Q20,6.5,3,,0.6755,,2
8,21,Q21,3.5,17,,0.6858,,2
8,22,Q22,8.5,11,,0.7044,,2
8,23,Q23,6.5,22,,0.7654,,2
8,24,Q24,6.5,10,,0.6955,,2
8,25,Q25,9.5,10,,0.7259,,2
