Hole,ID,LabID,depth_cm,distance_from_hole_on_surface_cm,nearest_neighbor,weight_g
1,1.2,1,7,6,6,0.7
2,2.1,2,7.5,7,NA,0.7433
3,3.1,3,6,11,NA,0.468
4,4.1,4,7,6,11,0.7526
4,4.2,5,7,9,11,0.7282
5,5.1,6,5,9,5,0.6538
5,5.2,7,5,9.5,5,6.51
5,5.3,8,6,10,5,0.735
5,5.4,9,5,8.5,5,0.799
5,5.5,10,8.5,0,7,0.742
1,1.1,11,14,0,6,0.672
6,12,12,2.5,4.5,,0.6532
7,13,13,4.5,16,,0.7063
8,14,14,4,13,,0.7796
8,15,15,7.5,7,,0.7652
8,16,16,5.5,4,,0.6843
9,17,17,9.5,8,,0.6234
8,18,18,3.5,12,,0.6893
8,19,19,6,6,,0.7337
8,20,20,6.5,3,,0.6755
8,21,21,3.5,17,,0.6858
8,22,22,8.5,11,,0.7044
8,23,23,6.5,22,,0.7654
8,24,24,6.5,10,,0.6955
8,25,25,9.5,10,,0.7259
