Sample.Name,Treatment,Nosema,dil.factor
1,Fall,20.2,10.6415
2,Fall,30.4,8.923
3,Fall,20.1,13.084
4,Fall,18.9,5.6375
5,Fall,17.5,11.885
6,Fall,15.3,3.814
7,Fall,14.4,11.727
8,Fall,13.1,6.8795
9,Fall,0.6,8.053
10,Fall,13.2,6.983
12,Fall,10.6,9.0725
14,Fall,34.7,7.2055
13,Fall,4.4,5.4845
15,Fall,4.1,6.1305
16,Fall,1.6,12.493
17,Fall,3.2,4.6365
18,Fall,12.5,10.3665
19,Fall,3.3,13.6135
20,Fall,8.2,8.4005
21,Fall,16.3,13.976
22,Fall,2.5,8.099
24,Fall,4.9,3.4205
25,Spring,0.5,10.349
25,Spring,0,14.818
26,Spring,0.9,9.8975
27,Spring,2.5,10.706
28,Spring,1.2,9.703
29,Spring,1.7,6.2095
30,Spring,0.2,3.619
31,Spring,0.6,3.8265
32,Spring,1.5,10.725
33,Spring,0.8,6.5005
34,Spring,0.6,14.5715
35,Spring,0.2,14.968
36,Spring,0.9,7.387
37,Spring,0.3,11.818
38,Spring,0.9,12.2475
39,Spring,0,13.0645
40,Spring,0.3,12.1055
41,Spring,0.5,12.6975
42,Spring,1.3,13.49
43,Spring,0.6,10.6795
