"","ID","Season","load","pathogen","Bee_Mass_Est_g.","time"
"1",1,"Fall",0,"DWV",0.65724,1
"2",1,"Fall",172503.8714,"BQCV",0.65724,1
"3",1,"Fall",1010000,"Nosema",0.65724,1
"4",2,"Fall",816779.9588,"BQCV",0.71906,1
"5",2,"Fall",0,"DWV",0.71906,1
"6",2,"Fall",1520000,"Nosema",0.71906,1
"7",3,"Fall",1005000,"Nosema",0.44826,1
"8",3,"Fall",0,"BQCV",0.44826,1
"9",3,"Fall",0,"DWV",0.44826,1
"10",4,"Fall",0,"DWV",0.74996,1
"11",4,"Fall",17500.7844,"BQCV",0.74996,1
"12",4,"Fall",945000,"Nosema",0.74996,1
"13",5,"Fall",20577.1939,"BQCV",0.73266,1
"14",5,"Fall",0,"DWV",0.73266,1
"15",5,"Fall",875000,"Nosema",0.73266,1
"16",6,"Fall",765000,"Nosema",0.68346,1
"17",6,"Fall",14557.54929,"BQCV",0.68346,1
"18",6,"Fall",0,"DWV",0.68346,1
"19",7,"Fall",0,"DWV",0.64654,1
"20",7,"Fall",720000,"Nosema",0.64654,1
"21",7,"Fall",165368.8398,"BQCV",0.64654,1
"22",8,"Fall",655000,"Nosema",0.72766,1
"23",8,"Fall",286080.0285,"BQCV",0.72766,1
"24",8,"Fall",0,"DWV",0.72766,1
"25",9,"Fall",0,"DWV",0.80096,1
"26",9,"Fall",138537.8117,"BQCV",0.80096,1
"27",9,"Fall",30000,"Nosema",0.80096,1
"28",10,"Fall",660000,"Nosema",1.02684,1
"29",10,"Fall",196635.6631,"BQCV",1.02684,1
"30",10,"Fall",0,"DWV",1.02684,1
"31",12,"Fall",127626.3874,"BQCV",0.71064,2
"32",12,"Fall",0,"DWV",0.71064,2
"33",12,"Fall",530000,"Nosema",0.71064,2
"34",13,"Fall",220000,"Nosema",0.32444,2
"35",13,"Fall",NA,"BQCV",0.32444,2
"36",13,"Fall",NA,"DWV",0.32444,2
"37",14,"Fall",0,"DWV",0.76114,2
"38",14,"Fall",1735000,"Nosema",0.76114,2
"39",14,"Fall",293805.7563,"BQCV",0.76114,2
"40",15,"Fall",74322.57076,"DWV",0.65166,2
"41",15,"Fall",0,"BQCV",0.65166,2
"42",15,"Fall",205000,"Nosema",0.65166,2
"43",16,"Fall",366328.9537,"BQCV",0.68664,2
"44",16,"Fall",0,"DWV",0.68664,2
"45",16,"Fall",80000,"Nosema",0.68664,2
"46",17,"Fall",160000,"Nosema",0.38204,2
"47",17,"Fall",0,"BQCV",0.38204,2
"48",17,"Fall",0,"DWV",0.38204,2
"49",18,"Fall",0,"DWV",0.59964,2
"50",18,"Fall",625000,"Nosema",0.59964,2
"51",18,"Fall",35947.98954,"BQCV",0.59964,2
"52",19,"Fall",0,"DWV",0.59966,2
"53",19,"Fall",0,"BQCV",0.59966,2
"54",19,"Fall",165000,"Nosema",0.59966,2
"55",20,"Fall",410000,"Nosema",0.56346,2
"56",20,"Fall",0,"BQCV",0.56346,2
"57",20,"Fall",0,"DWV",0.56346,2
"58",21,"Fall",0,"DWV",0.70696,2
"59",21,"Fall",815000,"Nosema",0.70696,2
"60",21,"Fall",37283.80055,"BQCV",0.70696,2
"61",22,"Fall",86180.45038,"BQCV",0.62254,2
"62",22,"Fall",125000,"Nosema",0.62254,2
"63",22,"Fall",0,"DWV",0.62254,2
"64",24,"Fall",245000,"Nosema",0.61204,2
"65",24,"Fall",0,"DWV",0.61204,2
"66",24,"Fall",54825.60536,"BQCV",0.61204,2
"67",25,"Fall",116507.6491,"BQCV",0.62036,2
"68",25,"Fall",0,"DWV",0.62036,2
"69",25,"Fall",25000,"Nosema",0.62036,2
"70",26,"Spring",45000,"Nosema",0.76676,3
"71",26,"Spring",689465.3809,"BQCV",0.76676,3
"72",26,"Spring",0,"DWV",0.76676,3
"73",27,"Spring",0,"DWV",0.57536,3
"74",27,"Spring",125000,"Nosema",0.57536,3
"75",27,"Spring",76343.38483,"BQCV",0.57536,3
"76",28,"Spring",0,"DWV",0.72276,3
"77",28,"Spring",66449.63244,"BQCV",0.72276,3
"78",28,"Spring",60000,"Nosema",0.72276,3
"79",29,"Spring",67826.87532,"BQCV",0.61996,3
"80",29,"Spring",0,"DWV",0.61996,3
"81",29,"Spring",85000,"Nosema",0.61996,3
"82",30,"Spring",0,"DWV",0.62246,3
"83",30,"Spring",10000,"Nosema",0.62246,3
"84",30,"Spring",421590.1021,"BQCV",0.62246,3
"85",31,"Spring",0,"DWV",0.57564,3
"86",31,"Spring",1024155.363,"BQCV",0.57564,3
"87",31,"Spring",30000,"Nosema",0.57564,3
"88",32,"Spring",640483.1105,"BQCV",0.62936,3
"89",32,"Spring",0,"DWV",0.62936,3
"90",32,"Spring",75000,"Nosema",0.62936,3
"91",33,"Spring",40000,"Nosema",0.50686,3
"92",33,"Spring",0,"BQCV",0.50686,3
"93",33,"Spring",0,"DWV",0.50686,3
"94",34,"Spring",0,"DWV",0.51546,3
"95",34,"Spring",30000,"Nosema",0.51546,3
"96",34,"Spring",38975.75956,"BQCV",0.51546,3
"97",35,"Spring",112899.8576,"BQCV",0.34806,3
"98",35,"Spring",10000,"Nosema",0.34806,3
"99",35,"Spring",0,"DWV",0.34806,3
"100",36,"Spring",45000,"Nosema",0.51076,3
"101",36,"Spring",0,"DWV",0.51076,3
"102",36,"Spring",190812.1877,"BQCV",0.51076,3
"103",37,"Spring",2052729.009,"BQCV",0.59866,3
"104",37,"Spring",15991.32995,"DWV",0.59866,3
"105",37,"Spring",15000,"Nosema",0.59866,3
"106",38,"Spring",45000,"Nosema",0.62616,3
"107",38,"Spring",236259.6509,"BQCV",0.62616,3
"108",38,"Spring",0,"DWV",0.62616,3
"109",39,"Spring",0,"DWV",0.50446,3
"110",39,"Spring",0,"Nosema",0.50446,3
"111",39,"Spring",11235.81577,"BQCV",0.50446,3
"112",40,"Spring",158687.7783,"BQCV",0.69446,3
"113",40,"Spring",13579.46662,"DWV",0.69446,3
"114",40,"Spring",15000,"Nosema",0.69446,3
"115",41,"Spring",25000,"Nosema",0.47124,3
"116",41,"Spring",244337.6782,"BQCV",0.47124,3
"117",41,"Spring",0,"DWV",0.47124,3
"118",42,"Spring",0,"DWV",0.63384,3
"119",42,"Spring",65000,"Nosema",0.63384,3
"120",42,"Spring",3179065.817,"BQCV",0.63384,3
"121",43,"Spring",0,"DWV",0.72296,3
"122",43,"Spring",162182.4578,"BQCV",0.72296,3
"123",43,"Spring",30000,"Nosema",0.72296,3
