Well,Sample.Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Tm1
E2,1,ACTIN,1.465,Amp,UNKNOWN,16.783,16.818,0.05,331224.06,323848,10431.296,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,11,FALSE,79.25550079
F2,1,ACTIN,1.469,Amp,UNKNOWN,16.853,16.818,0.05,316471.97,323848,10431.296,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,12,FALSE,79.30544281
E1,2,ACTIN,1.409,Amp,UNKNOWN,16.663,16.702,0.055,357588.38,348828.06,12388.962,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,12,FALSE,79.21286774
F1,2,ACTIN,1.404,Amp,UNKNOWN,16.742,16.702,0.055,340067.72,348828.06,12388.962,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,12,FALSE,79.21286774
E7,3,ACTIN,1.396,Amp,UNKNOWN,16.715,16.731,0.022,345964.4,342484.56,4921.28,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,12,FALSE,79.0646286
F7,3,ACTIN,1.408,Amp,UNKNOWN,16.746,16.731,0.022,339004.7,342484.56,4921.28,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,12,FALSE,79.0646286
E8,4,ACTIN,1.439,Amp,UNKNOWN,16.646,16.754,0.152,361497.2,338229.78,32905.086,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,12,FALSE,79.01472473
F8,4,ACTIN,1.424,Amp,UNKNOWN,16.861,16.754,0.152,314962.38,338229.78,32905.086,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,12,FALSE,79.01472473
E9,5,ACTIN,1.405,Amp,UNKNOWN,16.553,16.526,0.038,383933.44,390707.16,9579.475,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,11,FALSE,78.91294861
F9,5,ACTIN,1.409,Amp,UNKNOWN,16.499,16.526,0.038,397480.84,390707.16,9579.475,36.5667,0.9988,-3.584,90.11565,TRUE,0.159,TRUE,3,11,FALSE,78.96286011
E3,6,ACTIN,1.459,Amp,UNKNOWN,16.628,16.647,0.027,365885.2,361388.97,6358.593,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,12,FALSE,79.00559235
F3,6,ACTIN,1.448,Amp,UNKNOWN,16.666,16.647,0.027,356892.75,361388.97,6358.593,36.5667,0.9988,-3.584,90.11565,TRUE,0.15,TRUE,3,11,FALSE,79.10547638
