Sample.Name,Target.Name,Cq.Mean,Quantity.Mean,Treatment,Nosema,dil.factor,genomeCopy,ACT_genomeCopy,NormGenomeCopy
1,DWV,-,0,Fall,20.2,10.6415,0,1148742831,0
10,DWV,-,0,Fall,13.2,6.983,0,890096172,0
12,DWV,-,0,Fall,10.6,9.0725,0,1108007429,0
13,DWV,-,0,Fall,4.4,5.4845,0,0,NA
14,DWV,-,0,Fall,34.7,7.2055,0,1190053775,0
15,DWV,31.599,10.445,Fall,4.1,6.1305,21344.3575,280100951.1,74322.57076
16,DWV,34.815,1.302,Fall,1.6,12.493,5421.962,1897106442,0
17,DWV,-,0,Fall,3.2,4.6365,0,11084.326,0
18,DWV,-,0,Fall,12.5,10.3665,0,988820489.4,0
19,DWV,-,0,Fall,3.3,13.6135,0,453534478.6,0
2,DWV,-,0,Fall,30.4,8.923,0,1037530926,0
20,DWV,-,0,Fall,8.2,8.4005,0,341496930,0
21,DWV,-,0,Fall,16.3,13.976,0,1335685575,0
22,DWV,-,0,Fall,2.5,8.099,0,1098807447,0
24,DWV,-,0,Fall,4.9,3.4205,0,323497242.2,0
25,DWV,-,0,Spring,0.5,10.349,0,1087420623,0
26,DWV,-,0,Spring,0.9,9.8975,0,689825133.7,0
27,DWV,-,0,Spring,2.5,10.706,0,889815272.2,0
28,DWV,-,0,Spring,1.2,9.703,0,686218638.6,0
29,DWV,-,0,Spring,1.7,6.2095,0,495266677.3,0
3,DWV,-,0,Fall,20.1,13.084,0,1493689328,0
30,DWV,-,0,Spring,0.2,3.619,0,126585231.2,0
31,DWV,-,0,Spring,0.6,3.8265,0,145372132.9,0
32,DWV,33.192,4.17,Spring,1.5,10.725,14907.75,2216858394,0
33,DWV,33.373,3.313,Spring,0.8,6.5005,7178.718833,452558656.2,0
34,DWV,-,0,Spring,0.6,14.5715,0,1104488420,0
35,DWV,-,0,Spring,0.2,14.968,0,1288589033,0
36,DWV,-,0,Spring,0.9,7.387,0,536434361.5,0
37,DWV,32.016,12.489,Spring,0.3,11.818,49198.334,3000668593,15991.32995
38,DWV,-,0,Spring,0.9,12.2475,0,1215083293,0
39,DWV,-,0,Spring,0,13.0645,0,2807960824,0
4,DWV,-,0,Fall,18.9,5.6375,0,635590128.3,0
40,DWV,32.047,10.61,Spring,0.3,12.1055,42813.11833,3075008846,13579.46662
41,DWV,-,0,Spring,0.5,12.6975,0,1116085109,0
42,DWV,-,0,Spring,1.3,13.49,0,2572164830,0
43,DWV,-,0,Spring,0.6,10.6795,0,1092776171,0
5,DWV,-,0,Fall,17.5,11.885,0,1547851532,0
6,DWV,-,0,Fall,15.3,3.814,0,459445843.9,0
7,DWV,-,0,Fall,14.4,11.727,0,892526334,0
