Sample.Name,Treatment,load,pathogen
1,Fall,0,DWV
10,Fall,0,DWV
12,Fall,0,DWV
13,Fall,NA,DWV
14,Fall,0,DWV
15,Fall,74322.57076,DWV
16,Fall,0,DWV
17,Fall,0,DWV
18,Fall,0,DWV
19,Fall,0,DWV
2,Fall,0,DWV
20,Fall,0,DWV
21,Fall,0,DWV
22,Fall,0,DWV
24,Fall,0,DWV
25,Fall,0,DWV
26,Spring,0,DWV
27,Spring,0,DWV
28,Spring,0,DWV
29,Spring,0,DWV
3,Fall,0,DWV
30,Spring,0,DWV
31,Spring,0,DWV
32,Spring,0,DWV
33,Spring,0,DWV
34,Spring,0,DWV
35,Spring,0,DWV
36,Spring,0,DWV
37,Spring,15991.32995,DWV
38,Spring,0,DWV
39,Spring,0,DWV
4,Fall,0,DWV
40,Spring,13579.46662,DWV
41,Spring,0,DWV
42,Spring,0,DWV
43,Spring,0,DWV
5,Fall,0,DWV
6,Fall,0,DWV
7,Fall,0,DWV
8,Fall,0,DWV
9,Fall,0,DWV
1,Fall,172503.8714,BQCV
10,Fall,196635.6631,BQCV
12,Fall,127626.3874,BQCV
13,Fall,NA,BQCV
14,Fall,293805.7563,BQCV
15,Fall,0,BQCV
16,Fall,366328.9537,BQCV
17,Fall,0,BQCV
18,Fall,35947.98954,BQCV
19,Fall,0,BQCV
2,Fall,816779.9588,BQCV
20,Fall,0,BQCV
21,Fall,37283.80055,BQCV
22,Fall,86180.45038,BQCV
24,Fall,54825.60536,BQCV
25,Fall,116507.6491,BQCV
26,Spring,689465.3809,BQCV
27,Spring,76343.38483,BQCV
28,Spring,66449.63244,BQCV
29,Spring,67826.87532,BQCV
3,Fall,0,BQCV
30,Spring,421590.1021,BQCV
31,Spring,1024155.363,BQCV
32,Spring,640483.1105,BQCV
33,Spring,0,BQCV
34,Spring,38975.75956,BQCV
35,Spring,112899.8576,BQCV
36,Spring,190812.1877,BQCV
37,Spring,2052729.009,BQCV
38,Spring,236259.6509,BQCV
39,Spring,11235.81577,BQCV
4,Fall,17500.7844,BQCV
40,Spring,158687.7783,BQCV
41,Spring,244337.6782,BQCV
42,Spring,3179065.817,BQCV
43,Spring,162182.4578,BQCV
5,Fall,20577.1939,BQCV
6,Fall,14557.54929,BQCV
7,Fall,165368.8398,BQCV
8,Fall,286080.0285,BQCV
9,Fall,138537.8117,BQCV
1,Fall,1010000,Nosema
10,Fall,660000,Nosema
12,Fall,530000,Nosema
13,Fall,220000,Nosema
14,Fall,1735000,Nosema
15,Fall,205000,Nosema
16,Fall,80000,Nosema
17,Fall,160000,Nosema
18,Fall,625000,Nosema
19,Fall,165000,Nosema
2,Fall,1520000,Nosema
20,Fall,410000,Nosema
21,Fall,815000,Nosema
22,Fall,125000,Nosema
24,Fall,245000,Nosema
25,Fall,25000,Nosema
26,Spring,45000,Nosema
27,Spring,125000,Nosema
28,Spring,60000,Nosema
29,Spring,85000,Nosema
3,Fall,1005000,Nosema
30,Spring,10000,Nosema
31,Spring,30000,Nosema
32,Spring,75000,Nosema
33,Spring,40000,Nosema
34,Spring,30000,Nosema
35,Spring,10000,Nosema
36,Spring,45000,Nosema
37,Spring,15000,Nosema
38,Spring,45000,Nosema
39,Spring,0,Nosema
4,Fall,945000,Nosema
40,Spring,15000,Nosema
41,Spring,25000,Nosema
42,Spring,65000,Nosema
43,Spring,30000,Nosema
5,Fall,875000,Nosema
6,Fall,765000,Nosema
7,Fall,720000,Nosema
8,Fall,655000,Nosema
9,Fall,30000,Nosema
